dataset,comparison,model_a,model_b,metric,model_a_score,model_b_score,difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_approx,n_bootstrap,interpretation
LC25000,EfficientNet-B0 vs ResNet18,TransferCNN_EfficientNetB0_LeakageSafe,TransferCNN_ResNet18_LeakageSafe,macro_f1,1.0,0.999196,0.000804,0.0,0.00183,0.104,2000,Difference uncertain; CI includes zero
LC25000,EfficientNet-B0 vs ResNet18,TransferCNN_EfficientNetB0_LeakageSafe,TransferCNN_ResNet18_LeakageSafe,balanced_accuracy,1.0,0.999189,0.000811,0.0,0.001816,0.104,2000,Difference uncertain; CI includes zero
LC25000,DenseNet121 vs EfficientNet-B0,TransferCNN_DenseNet121_LeakageSafe,TransferCNN_EfficientNetB0_LeakageSafe,accuracy,1.0,1.0,0.0,0.0,0.0,1.0,2000,Difference uncertain; CI includes zero
LC25000,DenseNet121 vs EfficientNet-B0,TransferCNN_DenseNet121_LeakageSafe,TransferCNN_EfficientNetB0_LeakageSafe,weighted_f1,1.0,1.0,0.0,0.0,0.0,1.0,2000,Difference uncertain; CI includes zero
LC25000,DenseNet121 vs EfficientNet-B0,TransferCNN_DenseNet121_LeakageSafe,TransferCNN_EfficientNetB0_LeakageSafe,macro_f1,1.0,1.0,0.0,0.0,0.0,1.0,2000,Difference uncertain; CI includes zero
LC25000,DenseNet121 vs EfficientNet-B0,TransferCNN_DenseNet121_LeakageSafe,TransferCNN_EfficientNetB0_LeakageSafe,balanced_accuracy,1.0,1.0,0.0,0.0,0.0,1.0,2000,Difference uncertain; CI includes zero
LC25000,ResNet18 vs ResNet18 Head Only,TransferCNN_ResNet18_LeakageSafe,TransferCNN_ResNet18_HeadOnly_LeakageSafe,accuracy,0.999195,0.991955,0.007241,0.004559,0.01019,0.0,2000,A higher; CI excludes zero
LC25000,ResNet18 vs ResNet18 Head Only,TransferCNN_ResNet18_LeakageSafe,TransferCNN_ResNet18_HeadOnly_LeakageSafe,weighted_f1,0.999195,0.991953,0.007243,0.004559,0.010193,0.0,2000,A higher; CI excludes zero
LC25000,ResNet18 vs ResNet18 Head Only,TransferCNN_ResNet18_LeakageSafe,TransferCNN_ResNet18_HeadOnly_LeakageSafe,macro_f1,0.999196,0.991957,0.00724,0.004558,0.010253,0.0,2000,A higher; CI excludes zero
LC25000,ResNet18 vs ResNet18 Head Only,TransferCNN_ResNet18_LeakageSafe,TransferCNN_ResNet18_HeadOnly_LeakageSafe,balanced_accuracy,0.999189,0.991965,0.007224,0.00454,0.010215,0.0,2000,A higher; CI excludes zero
